case,theta_deg,aperture_radius,rel_l2,max_rel,center_abs_diff
cartesian Ex,5,0.874886635259,3.549300298057e-04,3.703316763253e-04,6.246355569031e-04
cartesian Ex,10,1.76326980708,3.249171212929e-04,3.395523228023e-04,2.129022627678e-03
cartesian Ex,15,2.67949192431,2.645222527752e-04,2.788174702200e-04,3.453182916482e-03
cartesian Ex,20,3.63970234266,1.173228289511e-04,1.307756325781e-04,2.262975660432e-03
cartesian Ex,27.021582,5.1,3.931902855068e-04,4.246774200612e-04,1.030063249803e-02
circular ER,5,0.874886635259,3.573346917904e-04,3.703318495983e-04,4.416842447142e-04
circular ER,10,1.76326980708,3.577082313395e-04,3.395547589017e-04,1.505457138072e-03
circular ER,15,2.67949192431,3.959319227954e-04,2.788287620866e-04,2.441867946458e-03
circular ER,20,3.63970234266,4.273846339889e-04,3.162344532582e-04,1.600705553277e-03
circular ER,27.021582,5.1,6.294782563657e-04,4.246976853205e-04,7.283994659551e-03
polar Er,5,0.874886635259,6.777012894054e-04,7.204920071356e-04,9.487351297933e-06
polar Er,10,1.76326980708,6.475029482595e-04,6.928464818201e-04,3.433278685283e-05
polar Er,15,2.67949192431,5.838150314608e-04,6.322621773639e-04,6.314097306817e-05
polar Er,20,3.63970234266,4.296264874663e-04,4.629664458041e-04,6.950937387275e-05
polar Er,27.021582,5.1,7.166683825310e-04,8.362011937523e-04,1.724950020247e-04
