polarization,model,ni,alpha_deg,NA_obj,a_eff,I0_scalar,I0_total,F_c,w_scalar,w_total,spot_ratio
circular,paraxial,1.8,10.0,0.17364817766693033,0.35265396141692995,0.14582016685418184,0.0748901286543317,0.5135786789300605,10.538337165071441,10.538337165071441,1.0
circular,paraxial,1.8,20.0,0.3420201433256687,0.7279404685324047,2.5942335830969663,1.3611593416294518,0.5246865010530453,3.1943329921597714,3.2272651306727718,1.0103095508808349
circular,paraxial,1.8,30.0,0.49999999999999994,1.1547005383792512,16.055416099953362,8.783024191713546,0.5470443205604032,1.9065626448436215,1.97157767723013,1.0341006536356645
circular,paraxial,1.8,40.0,0.6427876096865393,1.6781992623545599,68.22869473853166,40.17513671841128,0.5888305041210566,0.7260922567482347,0.8041009012195751,1.1074362710059709
circular,paraxial,2.2,10.0,0.17364817766693033,0.35265396141692995,0.14466681160653794,0.0568840647954969,0.39320742721702545,10.057077578286016,10.146277352043155,1.0088693532552366
circular,paraxial,2.2,20.0,0.3420201433256687,0.7279404685324047,2.5621162210327286,1.0292180297888838,0.401706222902734,3.0242980128486927,3.0242980128486927,1.0
circular,paraxial,2.2,30.0,0.49999999999999994,1.1547005383792512,15.91103133399453,6.664026556171529,0.4188305846606926,1.7454685546356767,1.74546855463568,1.000000000000002
circular,paraxial,2.2,40.0,0.6427876096865393,1.6781992623545599,68.58691401089973,30.92630385769711,0.4509067699529731,1.2336716536068368,1.3998676700668786,1.1347165722533554
circular,paraxial,2.6,10.0,0.17364817766693033,0.35265396141692995,0.14356002001589643,0.04460143915588325,0.3106814776909652,7.956128515071434,8.068588205953573,1.0141349766622176
circular,paraxial,2.6,20.0,0.3420201433256687,0.7279404685324047,2.535817564967287,0.8048531339499807,0.3173939423202803,3.0242980128486927,3.0242980128486927,1.0
circular,paraxial,2.6,30.0,0.49999999999999994,1.1547005383792512,15.864229298833488,5.250109527449098,0.33094009349922493,1.0552757612693053,1.0552757612693053,1.0
circular,paraxial,2.6,40.0,0.6427876096865393,1.6781992623545599,69.49413606972253,24.76496141502327,0.3563604473070493,1.7980242758958145,2.469358287792224,1.373373163475191
circular,exact,1.8,10.0,0.17364817766693033,0.35265396141692995,0.14582016685418184,0.07276067301092641,0.49897537892468663,10.538337165071441,10.452483700815108,0.9918532247629267
circular,exact,1.8,20.0,0.3420201433256687,0.7279404685324047,2.5942335830969663,1.215513607290044,0.4685443960057667,3.1943329921597714,3.12742855187588,0.9790552705531632
circular,exact,1.8,30.0,0.49999999999999994,1.1547005383792512,16.055416099953362,6.839112735818782,0.4259691990068478,1.9065626448436215,1.8843925579613388,0.988371697650616
circular,exact,1.8,40.0,0.6427876096865393,1.6781992623545599,68.22869473853166,25.802230964117296,0.3781727184287709,0.7260922567482347,0.7789665127577697,1.0728203000625975
circular,exact,2.2,10.0,0.17364817766693033,0.35265396141692995,0.14466681160653794,0.05555119609208921,0.38399405831363936,10.057077578286016,10.0121796863222,0.995535691992597
circular,exact,2.2,20.0,0.3420201433256687,0.7279404685324047,2.5621162210327286,0.9357001414549923,0.36520597066351407,3.0242980128486927,2.989130561160654,0.9883716976506183
circular,exact,2.2,30.0,0.49999999999999994,1.1547005383792512,15.91103133399453,5.361974845383164,0.33699731543656125,1.7454685546356767,1.6966345696100655,0.9720224206297409
circular,exact,2.2,40.0,0.6427876096865393,1.6781992623545599,68.58691401089973,20.771961459566523,0.3028560441757953,1.2336716536068368,1.2009857976782086,0.9735052225338355
circular,exact,2.6,10.0,0.17364817766693033,0.35265396141692995,0.14356002001589643,0.04367066580791122,0.30419796405068456,7.956128515071434,7.726299992266132,0.9711130203125888
circular,exact,2.6,20.0,0.3420201433256687,0.7279404685324047,2.535817564967287,0.7387818055403007,0.2913387050183286,3.0242980128486927,2.989130561160654,0.9883716976506183
circular,exact,2.6,30.0,0.49999999999999994,1.1547005383792512,15.864229298833488,4.304168430458736,0.2713127974502503,1.0552757612693053,1.1321212588537277,1.0728203000626029
circular,exact,2.6,40.0,0.6427876096865393,1.6781992623545599,69.49413606972253,17.098538056595434,0.2460428897114528,1.7980242758958145,1.6718874220249498,0.9298469683853292
polar,paraxial,1.8,10.0,0.17364817766693033,0.35265396141692995,0.0001557312549446612,7.805759624830133e-05,0.501232692666857,9.166489506398756,9.11720694765992,0.9946236169577858
polar,paraxial,1.8,20.0,0.3420201433256687,0.7279404685324047,0.0021760156955134757,0.0010290007405011421,0.47288295880528025,4.368729281696338,4.32005111301233,0.9888575909503123
polar,paraxial,1.8,30.0,0.49999999999999994,1.1547005383792512,0.0076568758157244485,0.0032289102624224954,0.42170074846864875,2.5808196648316617,2.5644851990543427,0.9936708224910459
polar,paraxial,1.8,40.0,0.6427876096865393,1.6781992623545599,0.00929708324992381,0.0032521550617769695,0.34980380129473626,2.328370679388892,2.2412977729870214,0.9626035033112839
polar,paraxial,2.2,10.0,0.17364817766693033,0.35265396141692995,0.00014938267032825323,5.766885319788272e-05,0.38604781311755426,9.11720694765992,9.11720694765992,1.0
polar,paraxial,2.2,20.0,0.3420201433256687,0.7279404685324047,0.0018043564796748391,0.0006705659489959671,0.3716371773258514,4.392866091244642,4.392866091244641,0.9999999999999998
polar,paraxial,2.2,30.0,0.49999999999999994,1.1547005383792512,0.004495130565725149,0.0015567740305743756,0.34632454114783623,2.6131823041662936,2.6131823041662923,0.9999999999999994
polar,paraxial,2.2,40.0,0.6427876096865393,1.6781992623545599,0.0019053236410993836,0.0006181440239373062,0.3244299344234417,2.7585736793794577,2.700261708392737,0.9788615502922373
polar,paraxial,2.6,10.0,0.17364817766693033,0.35265396141692995,0.00014205930362187337,4.3460757659354303e-05,0.3059339061314566,9.067656543010333,9.067656543010333,1.0
polar,paraxial,2.6,20.0,0.3420201433256687,0.7279404685324047,0.0014308370640196398,0.0004256709784343063,0.29749786970046194,4.195885702060914,4.195885702060914,1.0
polar,paraxial,2.6,30.0,0.49999999999999994,1.1547005383792512,0.0022008924303532924,0.0006245644866895859,0.28377783397134465,3.3465061897275623,3.3339252948546796,0.9962405881956827
polar,paraxial,2.6,40.0,0.6427876096865393,1.6781992623545599,2.6054544076834626e-05,1.0868198506316567e-05,0.41713255370220037,6.04784546455122,5.938298033000404,0.9818865359254106
polar,exact,1.8,10.0,0.17364817766693033,0.35265396141692995,0.0001557312549446612,7.811240496323524e-05,0.5015846368861043,9.166489506398756,9.11720694765992,0.9946236169577858
polar,exact,1.8,20.0,0.3420201433256687,0.7279404685324047,0.0021760156955134757,0.0010404886968705467,0.47816231243912144,4.368729281696338,4.32005111301233,0.9888575909503123
polar,exact,1.8,30.0,0.49999999999999994,1.1547005383792512,0.0076568758157244485,0.003413850041709293,0.4458541739306366,2.5808196648316617,2.5644851990543427,0.9936708224910459
polar,exact,1.8,40.0,0.6427876096865393,1.6781992623545599,0.00929708324992381,0.0038438745917867864,0.41344951835494076,2.328370679388892,2.3025945640962275,0.9889295482369544
polar,exact,2.2,10.0,0.17364817766693033,0.35265396141692995,0.00014938267032825323,5.7687609380074076e-05,0.38617337106982635,9.11720694765992,9.11720694765992,1.0
polar,exact,2.2,20.0,0.3420201433256687,0.7279404685324047,0.0018043564796748391,0.0006741026572298252,0.37359727128383435,4.392866091244642,4.392866091244641,0.9999999999999998
polar,exact,2.2,30.0,0.49999999999999994,1.1547005383792512,0.004495130565725149,0.0015983509556083586,0.3555738664846801,2.6131823041662936,2.6131823041662923,0.9999999999999994
polar,exact,2.2,40.0,0.6427876096865393,1.6781992623545599,0.0019053236410993836,0.0006538578604125689,0.343174170680677,2.7585736793794577,2.7441118566627076,0.994757499926555
polar,exact,2.6,10.0,0.17364817766693033,0.35265396141692995,0.00014205930362187337,4.346923208348007e-05,0.30599356026117364,9.067656543010333,9.067656543010333,1.0
polar,exact,2.6,20.0,0.3420201433256687,0.7279404685324047,0.0014308370640196398,0.00042701456529549214,0.2984368912669087,4.195885702060914,4.195885702060914,1.0
polar,exact,2.6,30.0,0.49999999999999994,1.1547005383792512,0.0022008924303532924,0.0006339108156492755,0.28802444267915384,3.3465061897275623,3.346506189727561,0.9999999999999996
polar,exact,2.6,40.0,0.6427876096865393,1.6781992623545599,2.6054544076834626e-05,9.326426367568635e-06,0.3579577650664346,6.04784546455122,6.0049289883910415,0.9929038404814196
cartesian,paraxial,1.8,10.0,0.17364817766693033,0.35265396141692995,0.0036936679761472233,0.0018969891195959607,0.5135786789300604,10.538337165071441,10.538337165071441,1.0
cartesian,paraxial,1.8,20.0,0.3420201433256687,0.7279404685324047,0.0657127043210219,0.03447856890493032,0.5246865010530454,3.1943329921597714,3.2272651306727718,1.0103095508808349
cartesian,paraxial,1.8,30.0,0.49999999999999994,1.1547005383792512,0.4066884407793805,0.22247660176592593,0.5470443205604031,1.9065626448436215,1.97157767723013,1.0341006536356645
cartesian,paraxial,1.8,40.0,0.6427876096865393,1.6781992623545599,1.7282530273199423,1.0176481013255445,0.588830504121057,0.7260922567482347,0.8041009012195751,1.1074362710059709
cartesian,paraxial,2.2,10.0,0.17364817766693033,0.35265396141692995,0.0036644531464343783,0.0014408901938667957,0.39320742721702545,10.057077578286016,10.146277352043155,1.0088693532552366
cartesian,paraxial,2.2,20.0,0.3420201433256687,0.7279404685324047,0.06489916203606738,0.026070397251061143,0.4017062229027341,3.0242980128486927,3.0242980128486927,1.0
cartesian,paraxial,2.2,30.0,0.49999999999999994,1.1547005383792512,0.4030311319326626,0.16880176462381782,0.4188305846606926,1.7454685546356767,1.74546855463568,1.000000000000002
cartesian,paraxial,2.2,40.0,0.6427876096865393,1.6781992623545599,1.7373268274899,0.7833724281361171,0.4509067699529732,1.2336716536068368,1.3998676700668786,1.1347165722533554
cartesian,paraxial,2.6,10.0,0.17364817766693033,0.35265396141692995,0.0036364177879320823,0.0011297676518564502,0.31068147769096516,7.956128515071434,8.068588205953573,1.0141349766622176
cartesian,paraxial,2.6,20.0,0.3420201433256687,0.7279404685324047,0.06423300929587906,0.020387168047514267,0.3173939423202803,3.0242980128486927,3.0242980128486927,1.0
cartesian,paraxial,2.6,30.0,0.49999999999999994,1.1547005383792512,0.4018456225328158,0.1329868278932643,0.3309400934992249,1.0552757612693053,1.0552757612693053,1.0
cartesian,paraxial,2.6,40.0,0.6427876096865393,1.6781992623545599,1.760307030696491,0.6273038008567453,0.3563604473070493,1.7980242758958145,2.469358287792224,1.373373163475191
cartesian,exact,1.8,10.0,0.17364817766693033,0.35265396141692995,0.0036936679761472233,0.0018430493780200415,0.49897537892468674,10.538337165071441,10.452483700815108,0.9918532247629267
cartesian,exact,1.8,20.0,0.3420201433256687,0.7279404685324047,0.0657127043210219,0.030789319355998747,0.46854439600576675,3.1943329921597714,3.12742855187588,0.9790552705531632
cartesian,exact,1.8,30.0,0.49999999999999994,1.1547005383792512,0.4066884407793805,0.17323674936413652,0.4259691990068477,1.9065626448436215,1.8843925579613388,0.988371697650616
cartesian,exact,1.8,40.0,0.6427876096865393,1.6781992623545599,1.7282530273199423,0.6535781454743357,0.37817271842877104,0.7260922567482347,0.7789665127577697,1.0728203000625975
cartesian,exact,2.2,10.0,0.17364817766693033,0.35265396141692995,0.0036644531464343783,0.0014071282351995219,0.38399405831363936,10.057077578286016,10.0121796863222,0.995535691992597
cartesian,exact,2.2,20.0,0.3420201433256687,0.7279404685324047,0.06489916203606738,0.023701561466630678,0.3652059706635142,3.0242980128486927,2.989130561160654,0.9883716976506183
cartesian,exact,2.2,30.0,0.49999999999999994,1.1547005383792512,0.4030311319326626,0.13582040949866586,0.3369973154365613,1.7454685546356767,1.6966345696100655,0.9720224206297409
cartesian,exact,2.2,40.0,0.6427876096865393,1.6781992623545599,1.7373268274899,0.5261599304140755,0.3028560441757953,1.2336716536068368,1.2009857976782086,0.9735052225338355
cartesian,exact,2.6,10.0,0.17364817766693033,0.35265396141692995,0.0036364177879320823,0.0011061908875266333,0.3041979640506845,7.956128515071434,7.726299992266132,0.9711130203125888
cartesian,exact,2.6,20.0,0.3420201433256687,0.7279404685324047,0.06423300929587906,0.018713561747691673,0.29133870501832865,3.0242980128486927,2.989130561160654,0.9883716976506183
cartesian,exact,2.6,30.0,0.49999999999999994,1.1547005383792512,0.4018456225328158,0.10902585999251556,0.2713127974502502,1.0552757612693053,1.1321212588537277,1.0728203000626029
cartesian,exact,2.6,40.0,0.6427876096865393,1.6781992623545599,1.760307030696491,0.4331110286119518,0.24604288971145286,1.7980242758958145,1.6718874220249498,0.9298469683853292
