ni,alpha_deg,Dc_parax,Dc_exact,Delta_Dc_exact_minus_parax,Fc_parax,Fc_exact,relL1_parax,relL1_exact
1.8,10.0,0.48641341183668085,0.501050104644839,0.014636692808158158,0.5135865881633191,0.49894989535516104,0.48585690559628303,0.5025196603566175
1.8,20.0,0.4752497813600699,0.5316182514575827,0.05636847009751278,0.5247502186399301,0.4683817485424174,0.469836054119894,0.5398359825682116
1.8,30.0,0.452752597908864,0.5743945354719228,0.12164193756305874,0.547247402091136,0.42560546452807724,0.43612513961173266,0.5835614996323438
1.8,40.0,0.41079158995424436,0.6222573120225459,0.2114657220683015,0.5892084100457556,0.37774268797745414,0.34959419129996655,0.6357559703918125
2.2,10.0,0.6067852684374588,0.6160242466046454,0.009238978167186551,0.3932147315625412,0.3839757533953546,0.6063808693173277,0.6169192438713204
2.2,20.0,0.5982381138538037,0.6349103909678455,0.03667227711404186,0.40176188614619635,0.3650896090321544,0.5957363643509586,0.638331804210204
2.2,30.0,0.5810137077739739,0.6632458724406171,0.08223216466664318,0.41898629222602607,0.33675412755938294,0.5713132188614622,0.6692038188287449
2.2,40.0,0.5488873110587181,0.6973638181341006,0.1484765070753825,0.45111268894128187,0.3026361818658994,0.5100130391319914,0.708387288643337
2.6,10.0,0.6893118170370045,0.6958163471527046,0.006504530115700069,0.31068818296299555,0.3041836528472955,0.688847066126176,0.6967389919435529
2.6,20.0,0.6825585097116473,0.708748093057397,0.026189583345749723,0.3174414902883527,0.2912519069426029,0.6808872179076987,0.7108699723031554
2.6,30.0,0.6689491024386955,0.7288438232764217,0.05989472083772618,0.3310508975613044,0.2711561767235783,0.6612938920955819,0.7338581943760323
2.6,40.0,0.6435652828118266,0.7540369200166789,0.11047163720485231,0.3564347171881734,0.2459630799833211,0.6238126242912888,0.7602157503869224
