ni,alpha_deg,NA_obj,NA_proxy_ni,a_eff,I0_scalar,I0_total,F_c,D_c,abs_delta_energy,signed_delta_energy,rel_l1_delta
2.6,40.0,0.6427876096865393,1.671247785185002,1.6781992623545599,76.37191737486683,18.78467202175396,0.2459630799833211,0.7540369200166789,289.1516520077188,-289.1514339877559,0.7602157503869224
2.6,30.0,0.49999999999999994,1.2999999999999998,1.1547005383792512,17.76726758289132,4.817704348601582,0.2711561767235783,0.7288438232764217,78.18665755887787,-78.18663828753108,0.7338581943760323
2.6,20.0,0.3420201433256687,0.8892523726467387,0.7279404685324047,2.790859655791772,0.81284319675853,0.2912519069426029,0.708748093057397,30.665527067840397,-30.665525850675206,0.7108699723031554
2.2,40.0,0.6427876096865393,1.4141327413103866,1.6781992623545599,76.37191737486683,23.11290547610764,0.3026361818658994,0.6973638181341006,199.26375841311147,-199.26306577191446,0.708387288643337
2.6,10.0,0.17364817766693033,0.4514852619340189,0.35265396141692995,0.15139894206204405,0.04605308323364861,0.3041836528472955,0.6958163471527046,3.962845139101436,-3.962845139101436,0.6967389919435529
2.2,30.0,0.49999999999999994,1.0999999999999999,1.1547005383792512,17.76726758289132,5.983200693990674,0.33675412755938294,0.6632458724406171,72.11766643605199,-72.11743730293745,0.6692038188287449
2.2,20.0,0.3420201433256687,0.7524443153164713,0.7279404685324047,2.790859655791772,1.0189138605966312,0.3650896090321544,0.6349103909678455,26.837121844846145,-26.837119718178165,0.638331804210204
1.8,40.0,0.6427876096865393,1.1570176974357707,1.6781992623545599,76.37191737486683,28.84893335517423,0.37774268797745414,0.6222573120225459,136.07085272628302,-136.0702902629064,0.6357559703918125
2.2,10.0,0.17364817766693033,0.38202599086724676,0.35265396141692995,0.15139894206204405,0.058133522841533,0.3839757533953546,0.6160242466046454,2.486505010816206,-2.486505010816206,0.6169192438713204
1.8,30.0,0.49999999999999994,0.8999999999999999,1.1547005383792512,17.76726758289132,7.561846173011109,0.42560546452807724,0.5743945354719228,61.542252638347726,-61.540491267461235,0.5835614996323438
1.8,20.0,0.3420201433256687,0.6156362579862037,0.7279404685324047,2.790859655791772,1.3071877255162394,0.4683817485424174,0.5316182514575827,16.70511969143926,-16.705115157193077,0.5398359825682116
1.8,10.0,0.17364817766693033,0.3125667198004746,0.35265396141692995,0.15139894206204405,0.07554048629873897,0.49894989535516104,0.501050104644839,2.005125411509972,-2.0051254104235428,0.5025196603566175
